gene	definition	group	log2foldchange	p.value	p.adjust
K01525	apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	progression	0.1204787	0.6888048	0.9334848
K01529	yjjX; inosine/xanthosine triphosphatase [EC:3.6.1.73]	progression	0.1608707	0.7935034	0.956964
K01531	mgtA, mgtB; P-type Mg2+ transporter [EC:7.2.2.14]	response	0.4223763	0.6242061	0.9260799
K01533	copB; P-type Cu2+ transporter [EC:7.2.2.9]	response	0.3756382	0.01996445	0.4327822
K01534	zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]	response	0.3177307	0.1113469	0.587808
K01535	PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1]	response	0.04716928	0.4795001	0.8612324
K01537	ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10]	response	0.3385197	0.02748634	0.4531407
K01545	kdpF; potassium-transporting ATPase KdpF subunit	progression	0.0878264	0.8443574	0.9684812
K01546	kdpA; potassium-transporting ATPase potassium-binding subunit	response	0.08683939	0.8542396	0.9684812
K01547	kdpB; potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]	response	0.1198116	0.7133032	0.9401329
K01548	kdpC; potassium-transporting ATPase KdpC subunit	response	0.3452338	0.4259831	0.853702
K01551	arsA, ASNA1, GET3; arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]	response	1.016103	0.0169048	0.4327822
K01552	ecfA; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	response	0.3568655	0.4259831	0.853702
K01554	K01554; 8-oxo-dGDP phosphatase [EC:3.6.1.58]	response	0.03002011	0.4795001	0.8612324
K01560	E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]	response	0.7389805	0.02346498	0.4327822
K01561	dehH; haloacetate dehalogenase [EC:3.8.1.3]	response	0.3544224	0.03703656	0.4658764
K01565	SGSH; N-sulfoglucosamine sulfohydrolase [EC:3.10.1.1]	progression	0.5513222	0.4239611	0.853702
K01567	pdaA; peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]	response	0.02276631	0.8064959	0.956964
K01571	oadA; oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2]	response	0.1399213	0.3583265	0.792076
K01573	oadG; oxaloacetate decarboxylase (Na+ extruding) subunit gamma	response	0.18962	0.4624327	0.8612324
K01575	alsD, budA, aldC; acetolactate decarboxylase [EC:4.1.1.5]	response	0.5086184	0.4517076	0.8612324
K01576	mdlC; benzoylformate decarboxylase [EC:4.1.1.7]	response	0.1707069	0.4795001	0.8612324
K01577	oxc; oxalyl-CoA decarboxylase [EC:4.1.1.8]	progression	0.2310924	0.9738975	0.99341
K01579	panD; aspartate 1-decarboxylase [EC:4.1.1.11]	response	0.1755152	0.2703441	0.7221891
K01580	E4.1.1.15, gadB, gadA, GAD; glutamate decarboxylase [EC:4.1.1.15]	response	0.4072299	0.1984493	0.6657432
K01581	E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]	response	0.1224527	0.5385201	0.8934715
K01582	E4.1.1.18, ldcC, cadA; lysine decarboxylase [EC:4.1.1.18]	progression	0.2370644	0.8958687	0.9732675
K01584	adiA; arginine decarboxylase [EC:4.1.1.19]	progression	0.2635533	0.7099079	0.9401329
K01585	speA; arginine decarboxylase [EC:4.1.1.19]	response	0.3379814	0.08641073	0.5425491
K01586	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]	response	0.2849376	0.1257864	0.6196924
K01588	purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	response	0.2813336	0.1779096	0.6595618
K01589	purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	response	0.9255773	0.1589959	0.6471459
K01590	hdc, HDC; histidine decarboxylase [EC:4.1.1.22]	progression	0.5885332	0.1437771	0.6471459
K01591	pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	response	0.3490429	0.06619258	0.5201979
K01593	DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]	progression	0.1056746	0.7426485	0.9522438
K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	progression	0.08392791	0.3912673	0.8241469
K01596	E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	progression	0.05515159	0.9025233	0.9732675
K01597	MVD, mvaD; diphosphomevalonate decarboxylase [EC:4.1.1.33]	response	0.3870658	0.8108701	0.9575341
K01598	PPCDC, coaC; phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36]	response	0.2063874	0.3996617	0.8334994
K01599	hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]	response	0.4870445	0.2978602	0.7439571
K01601	rbcL, cbbL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	response	0.02365354	0.4795001	0.8612324
K01604	mmdA; methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3]	response	0.3878019	0.06619258	0.5201979
K01607	pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	response	0.5793014	0.004000143	0.4327822
K01608	gcl; tartronate-semialdehyde synthase [EC:4.1.1.47]	progression	0.5001489	0.488197	0.8648426
K01609	trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]	response	0.503325	0.06619258	0.5201979
K01610	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	response	0.3268418	0.1113469	0.587808
K01611	speD, AMD1; S-adenosylmethionine decarboxylase [EC:4.1.1.50]	response	0.3454969	0.1113469	0.587808
K01612	bsdC; vanillate/4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.- 4.1.1.61]	response	0.5108259	0.1158191	0.6087736
K01613	psd, PISD; phosphatidylserine decarboxylase [EC:4.1.1.65]	response	0.4238939	0.02346498	0.4327822
K01615	gcdA; glutaconyl-CoA decarboxylase subunit alpha [EC:7.2.4.5]	response	0.02637726	0.3567305	0.792076
K01619	deoC, DERA; deoxyribose-phosphate aldolase [EC:4.1.2.4]	response	0.5035046	0.01996445	0.4327822
K01620	ltaE; threonine aldolase [EC:4.1.2.48]	response	0.3289573	0.1589959	0.6471459
K01621	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]	response	0.6412686	0.2206714	0.686963
K01622	K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	response	0.265027	0.1699838	0.6595618
K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	response	0.2204736	1	1
K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	response	0.2993774	0.1589959	0.6471459
K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	response	0.2604238	0.08641073	0.5425491
K01626	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	response	0.2044331	0.4624327	0.8612324
K01627	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	response	0.3221441	0.1257864	0.6196924
K01628	fucA; L-fuculose-phosphate aldolase [EC:4.1.2.17]	response	0.1328971	0.8064959	0.956964
K01629	rhaD; rhamnulose-1-phosphate aldolase [EC:4.1.2.19]	response	0.08890319	0.8064959	0.956964
K01630	garL; 2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]	progression	0.05612709	0.9486562	0.9732675
K01631	dgoA; 2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]	progression	0.3213308	0.8700441	0.9732675
K01633	folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]	response	0.5200867	0.03208873	0.4596789
K01635	lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	response	0.2250075	0.4377159	0.8612324
K01637	E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]	progression	0.2808876	0.7782342	0.956964
K01638	aceB, glcB; malate synthase [EC:2.3.3.9]	progression	0.3996247	0.5622186	0.9068061
K01639	E4.1.3.3, nanA, NPL; N-acetylneuraminate lyase [EC:4.1.3.3]	response	0.2752655	0.1416447	0.6471459
K01640	E4.1.3.4, HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	response	0.2508645	0.232327	0.6947875
K01641	E2.3.3.10; hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]	response	0.4843104	0.8239571	0.9662219
K01643	citF; citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	response	0.5636256	0.01011233	0.4327822
K01644	citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	response	0.495088	0.04329747	0.4741032
K01646	citD; citrate lyase subunit gamma (acyl carrier protein)	response	0.2967922	0.1984493	0.6657432
K01647	CS, gltA; citrate synthase [EC:2.3.3.1]	response	0.2933594	0.3271869	0.7578716
K01649	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]	response	0.3976595	0.005857099	0.4327822
K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	response	0.2470173	0.1416447	0.6471459
K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]	response	0.2517831	0.1779096	0.6595618
K01654	neuB, nnaB; N-acetylneuraminate synthase [EC:2.5.1.56]	progression	0.49325	0.2802418	0.7286288
K01657	trpE; anthranilate synthase component I [EC:4.1.3.27]	response	0.3954587	0.01430588	0.4327822
K01658	trpG; anthranilate synthase component II [EC:4.1.3.27]	response	0.1208689	0.4259831	0.853702
K01659	prpC; 2-methylcitrate synthase [EC:2.3.3.5]	progression	0.289143	0.2909324	0.7439571
K01661	menB; naphthoate synthase [EC:4.1.3.36]	response	0.139137	0.8064959	0.956964
K01662	dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	response	0.4329078	0.03208873	0.4596789
K01664	pabA; para-aminobenzoate synthetase component II [EC:2.6.1.85]	response	0.4749098	0.7565737	0.9522438
K01665	pabB; para-aminobenzoate synthetase component I [EC:2.6.1.85]	response	0.4995255	0.09824835	0.5651674
K01666	mhpE; 4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]	response	0.2828395	0.4083036	0.8476286
K01667	tnaA; tryptophanase [EC:4.1.99.1]	response	0.4006536	0.2206714	0.686963
K01668	E4.1.99.2; tyrosine phenol-lyase [EC:4.1.99.2]	response	0.07103866	0.872095	0.9732675
K01669	phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	progression	0.1460374	0.4941489	0.8648426
K01671	yihT; sulfofructosephosphate aldolase [EC:4.1.2.57]	progression	0.3979672	0.4119483	0.8498144
K01673	cynT, can; carbonic anhydrase [EC:4.2.1.1]	response	0.2263908	0.1416447	0.6471459
K01674	cah; carbonic anhydrase [EC:4.2.1.1]	response	0.1380262	0.6615331	0.9263661
K01675	fumD; fumarate hydratase D [EC:4.2.1.2]	progression	0.1460683	0.5843926	0.9114918
K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]	response	0.361056	0.1779096	0.6595618
K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]	response	0.2198503	0.3271869	0.7578716
K01678	E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]	response	0.4382263	0.1257864	0.6196924
K01679	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	response	0.3848049	0.1589959	0.6471459
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	response	0.1358036	0.3912673	0.8241469
K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	progression	0.1106216	0.6888048	0.9334848
K01684	dgoD; galactonate dehydratase [EC:4.2.1.6]	response	0.5235231	0.1257864	0.6196924
K01685	uxaA; altronate hydrolase [EC:4.2.1.7]	response	0.3355047	0.1984493	0.6657432
K01686	uxuA; mannonate dehydratase [EC:4.2.1.8]	response	0.1057149	0.2978602	0.7439571
K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]	response	0.2813454	0.1984493	0.6657432
K01689	ENO, eno; enolase [EC:4.2.1.11]	response	0.4123695	0.04329747	0.4741032
K01690	edd; phosphogluconate dehydratase [EC:4.2.1.12]	progression	0.2830317	0.488197	0.8648426
K01692	paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]	response	0.2417268	0.5798888	0.910171
K01693	hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	response	0.28603	0.1779096	0.6595618
K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]	response	0.2500687	0.05004352	0.490626
K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]	response	0.2063016	0.2703441	0.7221891
K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]	response	0.4893124	0.9128461	0.9732675
K01698	hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]	response	0.4795027	0.05764939	0.5040692
K01699	pduC; propanediol dehydratase large subunit [EC:4.2.1.28]	progression	0.05896783	0.3579081	0.792076
K01703	leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	response	0.2811768	0.08641073	0.5425491
K01704	leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	response	0.2917326	0.06619258	0.5201979
K01706	gudD; glucarate dehydratase [EC:4.2.1.40]	progression	0.2428573	0.7592599	0.9522438
K01708	garD; galactarate dehydratase [EC:4.2.1.42]	progression	0.4106116	0.4239611	0.853702
K01709	rfbG; CDP-glucose 4,6-dehydratase [EC:4.2.1.45]	response	1.123308	0.01204828	0.4327822
K01710	rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	response	0.4267665	0.01011233	0.4327822
K01711	gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]	response	0.2878965	0.4624327	0.8612324
K01712	hutU, UROC1; urocanate hydratase [EC:4.2.1.49]	response	0.2945226	0.2206714	0.686963
K01713	pheC; cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]	response	0.5662668	0.09518552	0.5651674
K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	response	0.3608972	0.05764939	0.5040692
K01715	crt; enoyl-CoA hydratase [EC:4.2.1.17]	response	0.3370307	0.1984493	0.6657432
K01716	fabA; 3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]	progression	0.1476794	0.8642779	0.9732675
K01719	hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]	response	0.4214769	0.08641073	0.5425491
K01720	prpD; 2-methylcitrate dehydratase [EC:4.2.1.79]	progression	0.3167726	0.488197	0.8648426
K01721	nthA; nitrile hydratase subunit alpha [EC:4.2.1.84]	response	0.1662023	0.4795001	0.8612324
K01725	cynS; cyanate lyase [EC:4.2.1.104]	response	0.03173903	0.5250403	0.8934715
K01726	GAMMACA; gamma-carbonic anhydrase [EC:4.2.1.-]	response	0.07574879	0.3673113	0.8074008
K01727	hysA, hylA, hylB; hyaluronate lyase [EC:4.2.2.1]	response	0.2089172	0.3070139	0.7509308
K01728	pel; pectate lyase [EC:4.2.2.2]	response	0.1089799	0.3855579	0.8241469
K01729	algL; poly(beta-D-mannuronate) lyase [EC:4.2.2.3]	response	0.4570605	0.071522	0.5386655
K01730	ogl; oligogalacturonide lyase [EC:4.2.2.6]	response	0.6672084	0.03717116	0.4658764
K01733	thrC; threonine synthase [EC:4.2.3.1]	response	0.273662	0.03733642	0.4658764
K01734	mgsA; methylglyoxal synthase [EC:4.2.3.3]	response	0.2270267	0.1779096	0.6595618
K01735	aroB; 3-dehydroquinate synthase [EC:4.2.3.4]	response	0.327131	0.05764939	0.5040692
K01736	aroC; chorismate synthase [EC:4.2.3.5]	response	0.3727749	0.01430588	0.4327822
K01737	queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	response	0.1856945	0.2978602	0.7439571
K01738	cysK; cysteine synthase [EC:2.5.1.47]	response	0.338469	0.02346498	0.4327822
K01739	metB; cystathionine gamma-synthase [EC:2.5.1.48]	response	0.3465347	0.5402914	0.8934715
K01740	metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	response	0.1975551	0.3583265	0.792076
K01744	aspA; aspartate ammonia-lyase [EC:4.3.1.1]	response	0.3017905	0.1113469	0.587808
K01745	hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]	response	0.423377	0.06619258	0.5201979
K01746	E4.3.1.4; formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]	response	0.04617242	0.4519925	0.8612324
K01749	hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]	response	0.5645074	0.1113469	0.587808
K01750	E4.3.1.12, ocd; ornithine cyclodeaminase [EC:4.3.1.12]	progression	0.0648595	0.3960678	0.8316003
K01751	E4.3.1.15; diaminopropionate ammonia-lyase [EC:4.3.1.15]	response	0.0981005	0.7133032	0.9401329
K01752	E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]	response	0.5171812	0.003288614	0.4327822
K01753	dsdA; D-serine dehydratase [EC:4.3.1.18]	response	0.5543442	0.149242	0.6471459
K01754	E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]	response	0.236863	0.1984493	0.6657432
K01755	argH, ASL; argininosuccinate lyase [EC:4.3.2.1]	response	0.3198203	0.09824835	0.5651674
K01756	purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]	response	0.2376171	0.2206714	0.686963
K01758	CTH; cystathionine gamma-lyase [EC:4.4.1.1]	progression	0.206132	0.7935034	0.956964
K01759	GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]	response	0.4930705	0.007050729	0.4327822
K01760	metC; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	response	0.100719	0.9751152	0.99341
K01761	E4.4.1.11; methionine-gamma-lyase [EC:4.4.1.11]	response	1.391955	0.01813863	0.4327822
K01766	csdA; cysteine sulfinate desulfinase [EC:4.4.1.-]	progression	0.142255	0.9183132	0.9732675
K01768	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	response	0.3994781	0.1113469	0.587808
K01770	ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	response	0.2343655	0.1589959	0.6471459
K01771	plc; 1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]	progression	0.5804986	0.009589177	0.4327822
K01772	hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	response	0.04731473	0.6226897	0.9260799
K01774	fumE; fumarate hydratase E [EC:4.2.1.2]	progression	0.3767615	0.2295835	0.6947875
K01775	alr; alanine racemase [EC:5.1.1.1]	response	0.4953068	0.03733642	0.4658764
K01776	murI; glutamate racemase [EC:5.1.1.3]	response	0.3514097	0.02748634	0.4531407
K01777	prdF; proline racemase [EC:5.1.1.4]	progression	0.1351741	0.7435129	0.9522438
K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]	response	0.4286384	0.01430588	0.4327822
K01779	racD; aspartate racemase [EC:5.1.1.13]	response	0.8243188	0.09824835	0.5651674
K01780	cntK; histidine racemase [EC:5.1.1.24]	response	0.2364016	0.3340865	0.7720353
K01782	fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	response	0.09256583	0.8552566	0.9684812
K01783	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	response	0.3725844	0.01996445	0.4327822
K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	response	0.3480506	0.01692871	0.4327822
K01785	galM, GALM; aldose 1-epimerase [EC:5.1.3.3]	response	0.4074443	0.05764939	0.5040692
K01787	RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]	response	0.01986662	0.8064959	0.956964
K01788	nanE; N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]	response	0.2266829	0.2446236	0.6947875
K01790	rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	response	0.4939643	0.01011233	0.4327822
K01791	wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	response	0.3097771	0.06619258	0.5201979
K01792	E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	response	0.3669034	0.7099079	0.9401329
K01796	E5.1.99.4, AMACR, mcr; alpha-methylacyl-CoA racemase [EC:5.1.99.4]	response	0.04954666	0.3070139	0.7509308
K01802	E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]	response	0.2075311	0.3271869	0.7578716
K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	response	0.3301191	0.05764939	0.5040692
K01804	araA; L-arabinose isomerase [EC:5.3.1.4]	response	0.3522927	0.09824835	0.5651674
K01805	xylA; xylose isomerase [EC:5.3.1.5]	response	0.3708023	0.1779096	0.6595618
K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	response	0.4557426	0.7594629	0.9522438
K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]	response	0.1932748	0.3583265	0.792076
K01809	manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]	response	0.3649737	0.07575269	0.5386655
K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]	response	0.221214	0.1589959	0.6471459
K01811	xylS, yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	response	0.3347958	0.2206714	0.686963
K01812	uxaC; glucuronate isomerase [EC:5.3.1.12]	response	0.2844259	0.4259831	0.853702
K01813	rhaA; L-rhamnose isomerase [EC:5.3.1.14]	progression	0.004252613	0.2978602	0.7439571
K01814	hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	response	0.4185038	0.02346498	0.4327822
K01815	kduI; 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]	response	0.2538085	0.3912673	0.8241469
K01816	hyi, gip; hydroxypyruvate isomerase [EC:5.3.1.22]	response	0.06163181	0.4259831	0.853702
K01817	trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]	response	0.513497	0.02748634	0.4531407
K01818	fucI; L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	response	0.09541852	0.8542396	0.9684812
K01819	E5.3.1.26, lacA, lacB; galactose-6-phosphate isomerase [EC:5.3.1.26]	response	0.04130434	0.5768651	0.910171
K01821	praC, xylH; 4-oxalocrotonate tautomerase [EC:5.3.2.6]	response	1.035995	0.08641073	0.5425491
K01823	idi, IDI; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	progression	0.06124606	0.9509568	0.9732675
K01825	fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]	response	0.1053997	0.9438711	0.9732675
K01826	hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]	response	0.1452723	0.7413725	0.9522438
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	response	0.6429174	0.004000143	0.4327822
K01835	pgm; phosphoglucomutase [EC:5.4.2.2]	response	0.4486097	0.01430588	0.4327822
K01838	pgmB; beta-phosphoglucomutase [EC:5.4.2.6]	response	0.5146075	0.04329747	0.4741032
K01839	deoB; phosphopentomutase [EC:5.4.2.7]	response	0.4060857	0.06619258	0.5201979
K01840	manB; phosphomannomutase [EC:5.4.2.8]	response	0.3140743	0.2703441	0.7221891
K01843	kamA; lysine 2,3-aminomutase [EC:5.4.3.2]	response	0.1920575	0.4624327	0.8612324
K01844	kamD; beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]	response	0.3734898	0.3271869	0.7578716
K01845	hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	response	0.4802528	0.1589959	0.6471459
K01846	glmS, mutS, mamA; methylaspartate mutase sigma subunit [EC:5.4.99.1]	response	0.1098851	0.5768651	0.910171
K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]	response	0.4167434	0.2446236	0.6947875
K01848	E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]	response	0.2327783	0.2703441	0.7221891
K01849	E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]	response	0.281703	0.1878765	0.6657432
K01854	glf; UDP-galactopyranose mutase [EC:5.4.99.9]	response	0.2000358	0.5005595	0.8648426
K01856	catB; muconate cycloisomerase [EC:5.5.1.1]	response	0.2058862	0.6549403	0.9260799
K01857	pcaB; 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]	progression	0.028454	0.1572992	0.6471459
K01858	INO1, ISYNA1; myo-inositol-1-phosphate synthase [EC:5.5.1.4]	response	0.411396	0.1589959	0.6471459
K01866	YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]	response	0.3005556	0.1257864	0.6196924
K01867	WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]	response	0.3382995	0.08641073	0.5425491
K01868	TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]	response	0.2927251	0.1416447	0.6471459
K01869	LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]	response	0.3471545	0.02748634	0.4531407
K01870	IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	response	0.1764072	0.2703441	0.7221891
K01872	AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]	response	0.4273403	0.02346498	0.4327822
K01873	VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]	response	0.2509331	0.09824835	0.5651674
K01874	MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]	response	0.306723	0.05764939	0.5040692
K01875	SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]	response	0.3675598	0.03733642	0.4658764
K01876	DARS2, aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]	response	0.2645635	0.2206714	0.686963
K01878	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	progression	0.03571052	0.9025233	0.9732675
K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	response	0.2463243	0.7594629	0.9522438
K01880	GARS, glyS1; glycyl-tRNA synthetase [EC:6.1.1.14]	response	0.3515899	0.1984493	0.6657432
K01881	PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]	response	0.3385776	0.05764939	0.5040692
K01883	CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]	response	0.2504738	0.1257864	0.6196924
K01885	EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]	response	0.3716506	0.06619258	0.5201979
